imagen,rotacion,traslacion
0161.jpg,"[[ 0.88173754 -0.04620991  0.46947156  0.        ]
 [ 0.05233596  0.99862953  0.          0.        ]
 [-0.46882817  0.02457024  0.88294759  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  983]
 [   0    1    0  496]
 [   0    0    1 3002]
 [   0    0    0    1]]"
0162.jpg,"[[ 0.70667603  0.02467767 -0.70710678  0.        ]
 [ 0.57366076  0.56500369  0.59302965  0.        ]
 [ 0.41415253 -0.82471925  0.38511795  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1300]
 [    0     1     0   272]
 [    0     0     1  3049]
 [    0     0     0     1]]"
0163.jpg,"[[ 0.2954137   0.42189449 -0.8571673   0.        ]
 [-0.0837315   0.90519133  0.41667456  0.        ]
 [ 0.95169311 -0.05131947  0.30273178  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -947]
 [   0    1    0   42]
 [   0    0    1 4705]
 [   0    0    0    1]]"
0164.jpg,"[[ 0.85855048  0.16688531  0.48480962  0.        ]
 [-0.20730151  0.97780079  0.03052379  0.        ]
 [-0.46895326 -0.12670798  0.87408691  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  897]
 [   0    1    0 -423]
 [   0    0    1 3424]
 [   0    0    0    1]]"
0165.jpg,"[[ 0.87153589 -0.44406972  0.20791169  0.        ]
 [ 0.32040645  0.83674476  0.44406972  0.        ]
 [-0.37116693 -0.32040645  0.87153589  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  886]
 [   0    1    0  647]
 [   0    0    1 4592]
 [   0    0    0    1]]"
0166.jpg,"[[ 0.41667456  0.69346291  0.58778525  0.        ]
 [-0.57881739  0.70096558 -0.41667456  0.        ]
 [-0.70096558 -0.16660264  0.69346291  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  -23]
 [   0    1    0 -450]
 [   0    0    1 3399]
 [   0    0    0    1]]"
0167.jpg,"[[ 0.95125124  0.16773126  0.25881905  0.        ]
 [-0.29207643  0.7594548   0.58130867  0.        ]
 [-0.09905773 -0.62856554  0.77142266  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1259]
 [    0     1     0   519]
 [    0     0     1  3434]
 [    0     0     0     1]]"
0168.jpg,"[[ 0.57491278  0.25596766 -0.77714596  0.        ]
 [ 0.04555288  0.93832068  0.34275245  0.        ]
 [ 0.81694567 -0.232454    0.52779249  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1290]
 [    0     1     0   596]
 [    0     0     1  4140]
 [    0     0     0     1]]"
0169.jpg,"[[ 0.47753499 -0.19293666  0.8571673   0.        ]
 [ 0.03429297  0.97894121  0.20124141  0.        ]
 [-0.87794324 -0.066705    0.47409505  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -509]
 [   0    1    0   -1]
 [   0    0    1 2331]
 [   0    0    0    1]]"
0170.jpg,"[[ 0.61844953  0.61844953 -0.48480962  0.        ]
 [-0.73296261  0.23152872 -0.63965636  0.        ]
 [-0.28334782  0.7509425   0.59648921  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -400]
 [   0    1    0 -454]
 [   0    0    1 4022]
 [   0    0    0    1]]"
0171.jpg,"[[ 0.61062689  0.15224638  0.77714596  0.        ]
 [ 0.12678273  0.94989395 -0.28570548  0.        ]
 [-0.78170387  0.27298813  0.56072857  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0    4]
 [   0    1    0  598]
 [   0    0    1 2729]
 [   0    0    0    1]]"
0172.jpg,"[[ 0.43677706  0.2729286  -0.8571673   0.        ]
 [ 0.30631615  0.85079577  0.42698592  0.        ]
 [ 0.84581098 -0.44906184  0.28800564  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -902]
 [   0    1    0 -198]
 [   0    0    1 2896]
 [   0    0    0    1]]"
0173.jpg,"[[ 0.77904049  0.52546944  0.34202014  0.        ]
 [-0.28573149  0.78312249 -0.55233746  0.        ]
 [-0.55808013  0.33256732  0.7602273   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  866]
 [   0    1    0   17]
 [   0    0    1 2982]
 [   0    0    0    1]]"
0174.jpg,"[[ 0.71158945  0.36257293 -0.60181502  0.        ]
 [-0.57730538  0.78993211 -0.20670208  0.        ]
 [ 0.40044843  0.49451807  0.77142266  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  675]
 [   0    1    0  324]
 [   0    0    1 3349]
 [   0    0    0    1]]"
0175.jpg,"[[ 0.75858935  0.10661278  0.64278761  0.        ]
 [-0.3768224   0.87659225  0.29931741  0.        ]
 [-0.53155157 -0.46927577  0.70514763  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  -33]
 [   0    1    0  475]
 [   0    0    1 2885]
 [   0    0    0    1]]"
0176.jpg,"[[ 0.94939702  0.21918557 -0.22495105  0.        ]
 [-0.27129484  0.93318514 -0.23572145  0.        ]
 [ 0.15825424  0.28482131  0.94542711  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1212]
 [    0     1     0  -331]
 [    0     0     1  3063]
 [    0     0     0     1]]"
0177.jpg,"[[ 0.37470951 -0.59966056 -0.70710678  0.        ]
 [ 0.88739248  0.45288909  0.08617464  0.        ]
 [ 0.26856541 -0.65977169  0.70183611  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  404]
 [   0    1    0  -88]
 [   0    0    1 2497]
 [   0    0    0    1]]"
0178.jpg,"[[ 0.56552114  0.20583286 -0.79863551  0.        ]
 [-0.81767932  0.26631737 -0.51036808  0.        ]
 [ 0.10763998  0.94165168  0.31891337  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  576]
 [   0    1    0   21]
 [   0    0    1 4727]
 [   0    0    0    1]]"
0179.jpg,"[[ 0.82903757  0.         -0.5591929   0.        ]
 [ 0.10669904  0.98162718  0.15818783  0.        ]
 [ 0.54891895 -0.190809    0.81380582  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  705]
 [   0    1    0  256]
 [   0    0    1 3908]
 [   0    0    0    1]]"
0180.jpg,"[[ 0.58054864 -0.09194987  0.80901699  0.        ]
 [ 0.53500455  0.79208412 -0.29389263  0.        ]
 [-0.61378613  0.60344674  0.50903696  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1297]
 [    0     1     0  -442]
 [    0     0     1  3844]
 [    0     0     0     1]]"
0181.jpg,"[[ 0.60144841 -0.02100304 -0.79863551  0.        ]
 [-0.38116242  0.87100027 -0.30995765  0.        ]
 [ 0.7021218   0.49083338  0.51585616  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1003]
 [    0     1     0  -168]
 [    0     0     1  4056]
 [    0     0     0     1]]"
0182.jpg,"[[ 0.52608091  0.14096295  0.83867057  0.        ]
 [-0.75583535  0.52952534  0.38511795  0.        ]
 [-0.38980995 -0.83650007  0.38511795  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0   59]
 [   0    1    0  627]
 [   0    0    1 2155]
 [   0    0    0    1]]"
0183.jpg,"[[ 0.48063085  0.63781868  0.60181502  0.        ]
 [-0.23590602  0.75502383 -0.61179029  0.        ]
 [-0.84459596  0.1520735   0.51335301  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -204]
 [   0    1    0  232]
 [   0    0    1 2682]
 [   0    0    0    1]]"
0184.jpg,"[[ 0.68724768  0.64086883 -0.34202014  0.        ]
 [-0.69142219  0.43270712 -0.57853255  0.        ]
 [-0.22276892  0.63407546  0.74048789  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0   84]
 [   0    1    0 -104]
 [   0    0    1 3662]
 [   0    0    0    1]]"
0185.jpg,"[[ 0.36686355  0.54389758  0.75470958  0.        ]
 [-0.39346399  0.82585869 -0.40391027  0.        ]
 [-0.84296929 -0.14877109  0.51698157  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -605]
 [   0    1    0  418]
 [   0    0    1 3306]
 [   0    0    0    1]]"
0186.jpg,"[[ 0.61649383 -0.2243854   0.75470958  0.        ]
 [ 0.29171606  0.95540953  0.04576436  0.        ]
 [-0.73132558  0.19194745  0.6544609   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  938]
 [   0    1    0  589]
 [   0    0    1 3374]
 [   0    0    0    1]]"
0187.jpg,"[[ 0.69636424  0.69636424  0.17364818  0.        ]
 [-0.59394563  0.42335447  0.68410495  0.        ]
 [ 0.40287149 -0.5795238   0.70841141  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  413]
 [   0    1    0  -35]
 [   0    0    1 3821]
 [   0    0    0    1]]"
0188.jpg,"[[ 0.90134294 -0.09473496  0.42261826  0.        ]
 [-0.28433709  0.60662089  0.74240388  0.        ]
 [-0.32670067 -0.78932654  0.51983679  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1290]
 [    0     1     0  -172]
 [    0     0     1  3071]
 [    0     0     0     1]]"
0189.jpg,"[[ 9.24024048e-01 -2.64959632e-01 -2.75637356e-01  0.00000000e+00]
 [ 8.77787565e-04  7.22401009e-01 -6.91473796e-01  0.00000000e+00]
 [ 3.82333347e-01  6.38696465e-01  6.67748483e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[   1    0    0  177]
 [   0    1    0  650]
 [   0    0    1 2918]
 [   0    0    0    1]]"
0190.jpg,"[[ 0.97207406 -0.18895206 -0.1391731   0.        ]
 [ 0.17273742  0.97754658 -0.12068332  0.        ]
 [ 0.15885155  0.09327272  0.98288676  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -907]
 [   0    1    0  751]
 [   0    0    1 3703]
 [   0    0    0    1]]"
0191.jpg,"[[ 0.80661276  0.42888361  0.40673664  0.        ]
 [-0.59085396  0.56600962  0.57491278  0.        ]
 [ 0.01635382 -0.70405395  0.70995816  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  921]
 [   0    1    0  268]
 [   0    0    1 2869]
 [   0    0    0    1]]"
0192.jpg,"[[ 0.54463904  0.83867057  0.          0.        ]
 [-0.45677273  0.29663168  0.83867057  0.        ]
 [ 0.70336832 -0.45677273  0.54463904  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -866]
 [   0    1    0  440]
 [   0    0    1 2119]
 [   0    0    0    1]]"
0193.jpg,"[[ 0.55720775  0.4353384   0.70710678  0.        ]
 [-0.54316589  0.83519145 -0.08617464  0.        ]
 [-0.62808467 -0.3360591   0.70183611  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  907]
 [   0    1    0 -237]
 [   0    0    1 2245]
 [   0    0    0    1]]"
0194.jpg,"[[ 0.28861472 -0.4618801  -0.83867057  0.        ]
 [ 0.58076934  0.78085    -0.2301744   0.        ]
 [ 0.76118889 -0.42064243  0.4936106   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  414]
 [   0    1    0  259]
 [   0    0    1 4480]
 [   0    0    0    1]]"
0195.jpg,"[[ 0.40830995 -0.56199043 -0.7193398   0.        ]
 [ 0.36263672  0.82303305 -0.43716268  0.        ]
 [ 0.83772167 -0.08236116  0.53985095  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  831]
 [   0    1    0  284]
 [   0    0    1 2559]
 [   0    0    0    1]]"
0196.jpg,"[[ 0.86982845 -0.09142265  0.48480962  0.        ]
 [ 0.41484699  0.66739955 -0.61844953  0.        ]
 [-0.26702142  0.73906681  0.61844953  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1111]
 [    0     1     0   379]
 [    0     0     1  3054]
 [    0     0     0     1]]"
0197.jpg,"[[ 0.87408691  0.03052379  0.48480962  0.        ]
 [-0.29986995  0.81907122  0.48908113  0.        ]
 [-0.382165   -0.57287925  0.7250926   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  815]
 [   0    1    0 -467]
 [   0    0    1 3271]
 [   0    0    0    1]]"
0198.jpg,"[[ 0.56671938 -0.2405581  -0.78801075  0.        ]
 [-0.16693998  0.90306215 -0.39573957  0.        ]
 [ 0.80682104  0.35582378  0.47162405  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1221]
 [    0     1     0   117]
 [    0     0     1  2262]
 [    0     0     0     1]]"
0199.jpg,"[[ 0.81902728  0.57348908 -0.01745241  0.        ]
 [-0.34070067  0.46164636 -0.81902728  0.        ]
 [-0.46164636  0.67675174  0.57348908  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -985]
 [   0    1    0  616]
 [   0    0    1 4000]
 [   0    0    0    1]]"
0200.jpg,"[[ 0.65714961  0.29258186  0.69465837  0.        ]
 [-0.06119955  0.93925867 -0.33770958  0.        ]
 [-0.75127159  0.17941294  0.63513935  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1097]
 [    0     1     0  -474]
 [    0     0     1  4757]
 [    0     0     0     1]]"
0201.jpg,"[[ 0.66065937  0.21466124  0.7193398   0.        ]
 [ 0.40545933  0.70440909 -0.58258953  0.        ]
 [-0.63176889  0.67655627  0.37833806  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  364]
 [   0    1    0 -165]
 [   0    0    1 2332]
 [   0    0    0    1]]"
0202.jpg,"[[ 0.77767705  0.56501545 -0.27563736  0.        ]
 [-0.62288338  0.75183637 -0.21623683  0.        ]
 [ 0.08505704  0.33985235  0.93662462  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -342]
 [   0    1    0  101]
 [   0    0    1 3955]
 [   0    0    0    1]]"
0203.jpg,"[[ 0.74969541  0.45046245 -0.48480962  0.        ]
 [-0.22744305  0.86333843  0.45046245  0.        ]
 [ 0.62147119 -0.22744305  0.74969541  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  402]
 [   0    1    0 -323]
 [   0    0    1 4342]
 [   0    0    0    1]]"
0204.jpg,"[[ 0.96710726 -0.2232743  -0.12186934  0.        ]
 [ 0.23021357  0.56449624  0.7926826   0.        ]
 [-0.10819087 -0.79466507  0.59732919  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -287]
 [   0    1    0 -251]
 [   0    0    1 4617]
 [   0    0    0    1]]"
0205.jpg,"[[ 0.99254615  0.          0.12186934  0.        ]
 [-0.00425318  0.99939083  0.03463936  0.        ]
 [-0.1217951  -0.0348995   0.99194152  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -187]
 [   0    1    0  141]
 [   0    0    1 2463]
 [   0    0    0    1]]"
0206.jpg,"[[ 0.34462774 -0.57355688 -0.74314483  0.        ]
 [ 0.92734042  0.08501251  0.36443465  0.        ]
 [-0.14584739 -0.81474253  0.56118015  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  372]
 [   0    1    0  -88]
 [   0    0    1 3580]
 [   0    0    0    1]]"
0207.jpg,"[[ 0.83640299 -0.25571405  0.48480962  0.        ]
 [ 0.54017593  0.534556   -0.64996911  0.        ]
 [-0.09295166  0.80551859  0.58523481  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1082]
 [    0     1     0   360]
 [    0     0     1  4846]
 [    0     0     0     1]]"
0208.jpg,"[[ 0.49373803  0.73199673 -0.46947156  0.        ]
 [-0.85786182  0.32154708 -0.40084982  0.        ]
 [-0.14246355  0.60065653  0.78671207  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  342]
 [   0    1    0 -427]
 [   0    0    1 4279]
 [   0    0    0    1]]"
0209.jpg,"[[ 0.76533937 -0.6197596  -0.17364818  0.        ]
 [ 0.59200833  0.78371927 -0.18791018  0.        ]
 [ 0.25255056  0.04101389  0.96671406  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  717]
 [   0    1    0  794]
 [   0    0    1 2600]
 [   0    0    0    1]]"
0210.jpg,"[[ 0.57043432  0.05995506  0.81915204  0.        ]
 [-0.73383917  0.48514349  0.47551642  0.        ]
 [-0.36889666 -0.87237675  0.32073987  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  107]
 [   0    1    0  399]
 [   0    0    1 4401]
 [   0    0    0    1]]"
0211.jpg,"[[ 0.77830903 -0.60808166  0.15643447  0.        ]
 [ 0.62609551  0.77039972 -0.12036893  0.        ]
 [-0.04732293  0.19162714  0.98032626  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -263]
 [   0    1    0  123]
 [   0    0    1 4519]
 [   0    0    0    1]]"
0212.jpg,"[[ 0.48063085 -0.36218132  0.79863551  0.        ]
 [ 0.37526329  0.90807061  0.18597107  0.        ]
 [-0.79257268  0.21031515  0.5723601   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -990]
 [   0    1    0  385]
 [   0    0    1 4774]
 [   0    0    0    1]]"
0213.jpg,"[[ 0.47932187 -0.7106239  -0.51503807  0.        ]
 [ 0.2542946   0.6741242  -0.69346291  0.        ]
 [ 0.83999095  0.20142054  0.5038303   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  -87]
 [   0    1    0  100]
 [   0    0    1 3577]
 [   0    0    0    1]]"
0214.jpg,"[[ 0.73124231 -0.68189449  0.01745241  0.        ]
 [ 0.67692811  0.72859142  0.10451254  0.        ]
 [-0.0839822  -0.06460997  0.99437042  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  985]
 [   0    1    0  607]
 [   0    0    1 4338]
 [   0    0    0    1]]"
0215.jpg,"[[ 0.87811071 -0.46689975  0.10452846  0.        ]
 [ 0.47654701  0.87298117 -0.10395585  0.        ]
 [-0.04271442  0.14109747  0.9890738   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  988]
 [   0    1    0  146]
 [   0    0    1 2663]
 [   0    0    0    1]]"
0216.jpg,"[[ 0.56104242 -0.11925325  0.81915204  0.        ]
 [ 0.00789552  0.99029447  0.1387607   0.        ]
 [-0.8277494  -0.07138301  0.55653876  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0   71]
 [   0    1    0 -379]
 [   0    0    1 3028]
 [   0    0    0    1]]"
0217.jpg,"[[ 0.74559048 -0.28620537  0.60181502  0.        ]
 [ 0.30803643  0.94882486  0.06960567  0.        ]
 [-0.59093857  0.13348363  0.79559646  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  356]
 [   0    1    0  268]
 [   0    0    1 3955]
 [   0    0    0    1]]"
0218.jpg,"[[ 0.80125161 -0.17031129  0.57357644  0.        ]
 [-0.20136152  0.82595904  0.52654078  0.        ]
 [-0.56342648 -0.53738787  0.62750687  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  280]
 [   0    1    0  444]
 [   0    0    1 2050]
 [   0    0    0    1]]"
0219.jpg,"[[ 0.45152622 -0.30455828 -0.83867057  0.        ]
 [ 0.27288211  0.94204016 -0.19518117  0.        ]
 [ 0.8495054  -0.14072877  0.50846434  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1067]
 [    0     1     0  -362]
 [    0     0     1  4284]
 [    0     0     0     1]]"
0220.jpg,"[[ 0.87666956 -0.30186154  0.37460659  0.        ]
 [ 0.29345892  0.9525501   0.0808094   0.        ]
 [-0.3812248   0.03908851  0.92365564  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -785]
 [   0    1    0 -316]
 [   0    0    1 4031]
 [   0    0    0    1]]"
0221.jpg,"[[ 0.70090317  0.67685432 -0.22495105  0.        ]
 [-0.21907191  0.50443189  0.83519816  0.        ]
 [ 0.67877997 -0.53611258  0.50183768  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  110]
 [   0    1    0  778]
 [   0    0    1 4791]
 [   0    0    0    1]]"
0222.jpg,"[[ 0.40451935  0.49953979  0.76604444  0.        ]
 [-0.75984794  0.64971369 -0.02243296  0.        ]
 [-0.50891572 -0.57300272  0.64239604  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  571]
 [   0    1    0  633]
 [   0    0    1 2898]
 [   0    0    0    1]]"
0223.jpg,"[[ 0.59619974  0.66214689  0.4539905   0.        ]
 [-0.639199    0.73365108 -0.23060946  0.        ]
 [-0.48576796 -0.15270098  0.86064621  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0   93]
 [   0    1    0 -272]
 [   0    0    1 4068]
 [   0    0    0    1]]"
0224.jpg,"[[ 0.59350185 -0.53439146 -0.60181502  0.        ]
 [ 0.77458446  0.58233379  0.24679194  0.        ]
 [ 0.21857372 -0.61262804  0.75954751  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1049]
 [    0     1     0  -252]
 [    0     0     1  2192]
 [    0     0     0     1]]"
0225.jpg,"[[ 0.93301171 -0.35814964  0.0348995   0.        ]
 [ 0.33075994  0.89175258  0.30882875  0.        ]
 [-0.14172862 -0.27659749  0.95047716  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  954]
 [   0    1    0  125]
 [   0    0    1 3957]
 [   0    0    0    1]]"
0226.jpg,"[[ 0.75950455 -0.53181081  0.37460659  0.        ]
 [ 0.11132013  0.67363669  0.73063085  0.        ]
 [-0.64090613 -0.5132162   0.57083138  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -903]
 [   0    1    0  544]
 [   0    0    1 4743]
 [   0    0    0    1]]"
0227.jpg,"[[ 0.57357644  0.         -0.81915204  0.        ]
 [-0.53741209  0.75470958 -0.3763      0.        ]
 [ 0.6182219   0.65605903  0.43288363  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  152]
 [   0    1    0  665]
 [   0    0    1 3392]
 [   0    0    0    1]]"
0228.jpg,"[[ 0.54090776 -0.26381834 -0.79863551  0.        ]
 [-0.30944929  0.82050907 -0.48063085  0.        ]
 [ 0.78208691  0.50711415  0.36218132  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1036]
 [    0     1     0   508]
 [    0     0     1  4890]
 [    0     0     0     1]]"
0229.jpg,"[[ 0.62468724 -0.69378546 -0.35836795  0.        ]
 [ 0.69648328  0.70255401 -0.14604415  0.        ]
 [ 0.35309615 -0.15836537  0.9220865   0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1197]
 [    0     1     0   305]
 [    0     0     1  3562]
 [    0     0     0     1]]"
0230.jpg,"[[ 0.9864998   0.13864351 -0.08715574  0.        ]
 [-0.12395817  0.97997373  0.15583918  0.        ]
 [ 0.10701643 -0.14293166  0.98392989  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -924]
 [   0    1    0 -270]
 [   0    0    1 4812]
 [   0    0    0    1]]"
0231.jpg,"[[ 0.60390552 -0.69471383 -0.39073113  0.        ]
 [ 0.53580647  0.71676695 -0.44626961  0.        ]
 [ 0.59009283  0.06014841  0.80509169  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -278]
 [   0    1    0 -122]
 [   0    0    1 2336]
 [   0    0    0    1]]"
0232.jpg,"[[ 0.95994432  0.2752596   0.05233596  0.        ]
 [-0.27262666  0.96069931 -0.05226423  0.        ]
 [-0.06466535  0.03590258  0.99726095  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -841]
 [   0    1    0   88]
 [   0    0    1 2540]
 [   0    0    0    1]]"
0233.jpg,"[[ 0.99604297  0.08714247 -0.01745241  0.        ]
 [-0.07215539  0.6782907  -0.73124231  0.        ]
 [-0.05188446  0.72960805  0.68189449  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  -49]
 [   0    1    0  214]
 [   0    0    1 2724]
 [   0    0    0    1]]"
0234.jpg,"[[ 0.98240881 -0.06869672  0.17364818  0.        ]
 [ 0.00304493  0.93564721  0.35292354  0.        ]
 [-0.18671812 -0.34618644  0.91939724  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  574]
 [   0    1    0  715]
 [   0    0    1 4549]
 [   0    0    0    1]]"
0235.jpg,"[[ 0.42836662 -0.35944227  0.82903757  0.        ]
 [ 0.83983449  0.49692893 -0.21849407  0.        ]
 [-0.33343675  0.78984992  0.51473978  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1000]
 [    0     1     0   539]
 [    0     0     1  3369]
 [    0     0     0     1]]"
0236.jpg,"[[ 0.49726095 -0.55226423  0.66913061  0.        ]
 [ 0.83427676  0.09267234 -0.54350172  0.        ]
 [ 0.23814666  0.8285023   0.50682355  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  752]
 [   0    1    0  -35]
 [   0    0    1 4170]
 [   0    0    0    1]]"
0237.jpg,"[[ 0.83426072  0.38902216 -0.39073113  0.        ]
 [-0.55127942  0.57566407 -0.60390552  0.        ]
 [-0.01000276  0.71921668  0.69471383  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  485]
 [   0    1    0  -10]
 [   0    0    1 2154]
 [   0    0    0    1]]"
0238.jpg,"[[ 0.91364355  0.11218132  0.39073113  0.        ]
 [-0.24716152  0.91640193  0.3148312   0.        ]
 [-0.32274858 -0.3842172   0.86499162  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  689]
 [   0    1    0 -416]
 [   0    0    1 2136]
 [   0    0    0    1]]"
0239.jpg,"[[ 0.83246706 -0.52018315 -0.190809    0.        ]
 [ 0.53514602  0.66560365  0.52018315  0.        ]
 [-0.14358735 -0.53514602  0.83246706  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  959]
 [   0    1    0 -403]
 [   0    0    1 4311]
 [   0    0    0    1]]"
0240.jpg,"[[ 0.97755174  0.03413686  0.20791169  0.        ]
 [ 0.02737591  0.95784365 -0.28598268  0.        ]
 [-0.20890944  0.28525464  0.9354072   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  891]
 [   0    1    0  344]
 [   0    0    1 2374]
 [   0    0    0    1]]"
0241.jpg,"[[ 0.76557779 -0.02673457 -0.64278761  0.        ]
 [ 0.1459202   0.98031239  0.13302222  0.        ]
 [ 0.62657637 -0.19563455  0.75440651  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1132]
 [    0     1     0   312]
 [    0     0     1  4928]
 [    0     0     0     1]]"
0242.jpg,"[[ 0.6685826  -0.23021145  0.70710678  0.        ]
 [ 0.71817762  0.44657321 -0.53366026  0.        ]
 [-0.19292024  0.86462423  0.46390379  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -607]
 [   0    1    0  641]
 [   0    0    1 3638]
 [   0    0    0    1]]"
0243.jpg,"[[ 0.94551858  0.          0.32556815  0.        ]
 [ 0.04531033  0.99026807 -0.13159075  0.        ]
 [-0.32239975  0.1391731   0.93631685  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  904]
 [   0    1    0  551]
 [   0    0    1 3676]
 [   0    0    0    1]]"
0244.jpg,"[[ 0.97624973 -0.10260798 -0.190809    0.        ]
 [ 0.00698461  0.89518032 -0.44564942  0.        ]
 [ 0.21653565  0.43373239  0.87463622  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -275]
 [   0    1    0  324]
 [   0    0    1 4697]
 [   0    0    0    1]]"
